Nama,Rating,Ulasan,Sentimen,Preprocessed,Positive_Count,Negative_Count
D***k,5,"Barang datang sesuai pesanan, parfum morris varian pure romantic wanginya soft, semoga tahan lama ya, baru nyobain ini parfum, penasaran sama yang varian midnight nanti l...",Positif,s s      s                  s                      w        s     s                                                     s     s,0,0
T***w,5,"Alhamdulilah barang sudah sampai wangi nya enkn dan tahan lama,,sukses trus sellernya",Positif,s     s      w                              s  s s    s s,0,0
E***t,5,parfum nh dah smpai Bru prtma x co nyobain varian ini wnginy mntp si kalem BRG aman TDK ada ccamksh seller dan kurirnya,Positif,s                                       w           s                                s  s,0,0
E***m,5,pesanan sesuai gambar datang tepat waktu wangi enak lumayan tahan lama,Positif,s     s s                           w     w,0,0
B***h,5,"Harum memang..
Tapi ini Aneh bin ajaib, 
kak ini isi parfumnya memang segini apa udah pake, kok 100 ml isi nya GK penuh, atau terjadi sesuatu diperjalanan..😔",Positif,s                   s                                  s                                s s                        w,0,0
J***c,5,Yang kedua kalinya beli Moris wangi nya enak dan mantap,Positif,s w,0,0
F***b,5,"Gilasiiii wangi bangett, elegant,mantep pokoknya, lebihh worth it beli di online daripda beli langsung, next order variant yg lain🤩🤩🤩👌👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻",Positif,s     w                                                   w                                        s                                        s       s       s       s       s       s       s,0,0
U***x,5,"Harum,wangi dan tahan lama
Kualitas produk: Bagus",Positif,w                           s             s,0,0
N***d,5,"Kualitas produk: Amazing gemesin
Makasih pesanannya sudah sampai dengan aman dan wanginya enak sekali plus bubble wrap tebal dan nggak begitu😍😍😍😍😍😍👍🏻👍🏻👍🏻👍🏻�...",Positif,s                     s       s     s        s     s                         w             s         s        w                              s       s       s       s       s       s           s       s       s       s,0,0
A***a,5,"Varian yg ini tipe wangi yang elegan, dia pas pertama kali dispray kecium aroma floral & spicy yang gak nyegrak dan dry downnya ENAKKK BGTT vanilla musky dan gak biki...",Positif,w                           s                s                           s                                   w                              s,0,0
F***n,5,Sukakkk bangetttt sama wangi nyaaa jadi Ter Favorite 🫶🤩,Positif,s                 s    w,0,0
M***g,5,"Parfumnya sampai dengan aman tidak pecah dan cairannya juga tidak berkurang, semuanya full 🥹🫶 aaww suka banget sama wanginya, harum banget dan ada sedikit aroma melatin...",Positif,s                                                                        s                  ww s           s    w                              s,0,0
Y***g,5,"Pengiriman cepat, packing rapih, barang sesuai",Positif,s s,0,0
O***s,5,"Kualitas produk: Baik rapi packing nya, wangi juga enak seger",Positif,s                                w                  s,0,0
X***d,5,"idiiiiiiiihhhh wangii bangeett ini parfum yg gue cari2😭di Tembung angin makin wangiii akhirnya dpt parfum yg baunya than lama,Babay parfum yg wangi nya KLO di semprot ng...",Positif,w                                       s                            w                                                               w                s,0,0
Maura,5,"baunya enakkkk walaupun agak dikit melenceng dari ekspektasi tapi enak bangetttt, thankyouuuu",Positif,w                                       s     s,0,0
R***e,5,Hrumny tahan lama...botol amn wlwpun bungkus ny hncur.  Wrapny melindungi sgla benturn..recomend trimksh,Positif,w w             s            w                 s                           s,0,0
E***i,5,Kualitas produk: sangat worth it dana pelajar tapi kualitas ga murahan wangi nya enak banget🩷,Positif,s         s         w                                 s               w,0,0
X***d,5,"dari box luar kliatan penyok, untung di dalamnya pake bubble wrap jadi aman.",Positif,w,0,0
V***w,5,"Sumpah nih morris yg pure romantic wanginya membuatku terngiang ngiang😂 dah pokok nya good dah
Dh packing rapi bgt.. pngiriman juga cpt.. pokoknya oke dah good😂",Positif,s               s                  w,0,0
Q***c,5,"Kualitas produk: Bagus
Wanginya harum... worth it sih harga segitu.. makasihg",Positif,s             s w                 w        s            s            s,0,0
T***e,5,"Kualitas produk: Mantuuulll
Wangi nya sangat suka sekali  doi emang sering pake produk inj",Positif,s                    w         s         s    s                 s,0,0
R***q,5,Udh dtng paketnya udh order yg kedua kali..parfumnya suka banget wanginya enak banget tahan seharian..bakalan next order lg aroma lainnya,Positif,s           w                          s,0,0
O***l,5,"Alhamdulillah sudah sampai, cepat jg sampainya.. barang dtg dlm keadaan bagus. Dikirim dgn aman pakai bubblewrap. Wangi nya enak, lumayan tahan lama..",Positif,s     s                s                                      s                               w     w,0,0
B***z,5,"Kualitas produk: Bagus banget
Baunya cewe bangettt🥰🥰",Positif,s             s                 w           s       s,0,0
E***c,5,"Kualitas produk: Bagus
Parfum y udh smpe sesuai pesanan, wangi y enak aku suka nyobain pertama kali, gk bikin pusing n nyengat ni wangi y seger kalem gtu jd gk bikin enek...",Positif,s             s              s    s s      s      w                s                                        s                    w       s,0,0
M***a,5,"aalooo, aku suka banget sama parfumnya, wangii terus gede jadi bisa awet, udah aku pake dan bawa kerja hehe",Positif,s           s               w          s             s   w                        w,0,0
W***w,5,"Sampai juga, wangi nya seger . Terimakasih",Positif,s               w         s               s,0,0
W***h,5,"Wanginya tahan lama,awet banget dibaju",Positif,w                    w,0,0
U***c,5,"Kualitas produk: BAGUSS BANGETT💞
packing aman dan pengirimannya juga cepat,dan wanginya tahan lama dan suka banget sama wanginyaa🤏🏻💓",Positif,s             ss                                                                 w                       s           s    w,0,0
G***g,5,"Kualitas good i like, rekomen bangett ayok guys di beli di toko ini pengirimannya cepat, package rapih, sampe rumah aman dan tepat waktu.",Positif,s                                       s                                                          s                          w,0,0
C***r,5,"Kualitas produk: Super duper bagus wangi dan tahan lama, recomended deh pokoknya🫶🏻",Positif,s         s               s w,0,0
W***w,5,"Awalnya bingung mau pilih varian apa, terus lihat rekomendasi di tiktok, dan ternyata emang sebagus dan seenak itu wanginyaa. Sukaa bangettt💗",Positif,w                                        s                s                                 s     s     s          w          s,0,0
A***x,5,"baunya ternyataa enak bgtt, iseng beli karena di rekomendasiin temen. baunya cocok sama aakuuuu",Positif,s                            s                         s,0,0
Y***c,5,Kualitas produk: Mantuulll wangi ny enak bngt tahan lamak jg work it lah pkokny,Positif,s                   w                                 w,0,0
T***h,5,"Kualitas produk: Sangat baik,pengemasan nya aman dan tidak ada yg pecah",Positif,s         s                     s,0,0
C***x,5,"Parfumnya wangi bngt tpi karna bau nya telalu semerbak di aku nya kurang cocok dan langsung bikin pusing juga + mual"" . Mungkin aku baru pertama kali ini beli parfum yang...",Positif,w                                   s                                         s            s,0,0
S***f,5,"pacar saya pake ini wangi bngett. yg pure romantic, sampe pesen lagii 2, kirimin strukk dongg minn, next mau nyoba yg wangi tea🙏🏻",Positif,s             w                               s       s                    s                                    w,0,0
